Date,Closing Price
1996-06-17,15.882
1996-06-18,15.859
1996-06-19,15.953
1996-06-20,16.095
1996-06-21,16.211
1996-06-24,16.163
1996-06-25,16.236
1996-06-26,16.352
1996-06-27,16.447
1996-06-28,16.33
1996-07-01,16.402
1996-07-02,16.652
1996-07-03,16.771
1996-07-05,16.533
1996-07-08,16.533
1996-07-09,16.626
1996-07-10,16.699
1996-07-11,16.792
1996-07-12,16.855
1996-07-15,16.606
1996-07-16,16.236
1996-07-17,16.001
1996-07-18,16.118
1996-07-19,16.045
1996-07-22,16.045
1996-07-23,15.905
1996-07-24,15.716
1996-07-25,15.766
1996-07-26,15.648
1996-07-29,15.529
1996-07-30,15.357
1996-07-31,15.452
1996-08-01,15.67
1996-08-02,15.927
1996-08-05,15.834
1996-08-06,15.788
1996-08-07,15.599
1996-08-08,15.529
1996-08-09,15.145
1996-08-12,15.333
1996-08-13,15.283
1996-08-14,15.189
1996-08-15,15.167
1996-08-16,15.474
1996-08-19,15.693
1996-08-20,15.74
1996-08-21,15.575
1996-08-22,15.716
1996-08-23,15.503
1996-08-26,15.333
1996-08-27,15.503
1996-08-28,15.357
1996-08-29,15.035
1996-08-30,15.308
1996-09-03,15.74
1996-09-04,15.766
1996-09-05,15.622
1996-09-06,15.788
1996-09-09,15.834
1996-09-10,15.67
1996-09-11,15.953
1996-09-12,15.977
1996-09-13,15.882
1996-09-16,16.001
1996-09-17,16.001
1996-09-18,16.118
1996-09-19,16.14
1996-09-20,16.33
1996-09-23,16.283
1996-09-24,16.211
1996-09-25,16.001
1996-09-26,15.788
1996-09-27,15.67
1996-09-30,15.648
1996-10-01,16.022
1996-10-02,16.118
1996-10-03,16.163
1996-10-04,16.509
1996-10-07,16.509
1996-10-08,16.447
1996-10-09,16.19
1996-10-10,16.14
1996-10-11,16.236
1996-10-14,16.462
1996-10-15,16.376
1996-10-16,16.424
1996-10-17,16.556
1996-10-18,16.792
1996-10-21,16.722
1996-10-22,16.533
1996-10-23,16.652
1996-10-24,16.402
1996-10-25,16.626
1996-10-28,16.581
1996-10-29,16.839
1996-10-30,16.745
1996-10-31,16.652
1996-11-01,16.581
1996-11-04,16.626
1996-11-05,16.581
1996-11-06,16.652
1996-11-07,16.626
1996-11-08,16.792
1996-11-11,16.911
1996-11-12,16.722
1996-11-13,16.958
1996-11-14,16.933
1996-11-15,16.958
1996-11-18,17.145
1996-11-19,17.289
1996-11-20,17.145
1996-11-21,17.076
1996-11-22,17.451
1996-11-25,17.821
1996-11-26,17.821
1996-11-27,17.617
1996-11-29,17.735
1996-12-02,17.821
1996-12-03,17.752
1996-12-04,17.642
1996-12-05,17.845
1996-12-06,17.821
1996-12-09,17.845
1996-12-10,17.664
1996-12-11,17.752
1996-12-12,17.752
1996-12-13,17.797
1996-12-16,17.752
1996-12-17,18.134
1996-12-18,18.278
1996-12-19,18.723
1996-12-20,18.723
1996-12-23,18.841
1996-12-24,18.841
1996-12-26,18.841
1996-12-27,18.772
1996-12-30,18.678
1996-12-31,18.414
1997-01-02,18.49
1997-01-03,18.534
1997-01-06,18.796
1997-01-07,18.841
1997-01-08,18.7
1997-01-09,19.329
1997-01-10,19.87
1997-01-13,19.376
1997-01-14,19.469
1997-01-15,19.541
1997-01-16,19.399
1997-01-17,19.329
1997-01-20,19.257
1997-01-21,19.469
1997-01-22,19.918
1997-01-23,19.329
1997-01-24,18.841
1997-01-27,19.399
1997-01-28,18.89
1997-01-29,19.399
1997-01-30,19.562
1997-01-31,19.469
1997-02-03,19.211
1997-02-04,19.423
1997-02-05,19.329
1997-02-06,19.14
1997-02-07,18.983
1997-02-10,18.817
1997-02-11,19.093
1997-02-12,19.351
1997-02-13,19.541
1997-02-14,19.515
1997-02-18,19.562
1997-02-19,19.399
1997-02-20,19.376
1997-02-21,19.494
1997-02-24,19.282
1997-02-25,19.445
1997-02-26,19.187
1997-02-27,18.772
1997-02-28,18.841
1997-03-03,18.652
1997-03-04,18.796
1997-03-05,19.029
1997-03-06,18.958
1997-03-07,18.865
1997-03-10,19.351
1997-03-11,19.305
1997-03-12,19.077
1997-03-13,18.796
1997-03-14,19.007
1997-03-17,18.958
1997-03-18,19.029
1997-03-19,19.029
1997-03-20,19.007
1997-03-21,19.445
1997-03-24,19.634
1997-03-25,19.87
1997-03-26,20.554
1997-03-27,20.323
1997-03-31,20.257
1997-04-01,20.081
1997-04-02,19.681
1997-04-03,19.211
1997-04-04,19.14
1997-04-07,19.729
1997-04-08,19.541
1997-04-09,19.469
1997-04-10,19.445
1997-04-11,19.029
1997-04-14,19.445
1997-04-15,19.634
1997-04-16,19.634
1997-04-17,19.351
1997-04-18,20.105
1997-04-21,20.059
1997-04-22,20.766
1997-04-23,20.623
1997-04-24,20.397
1997-04-25,19.823
1997-04-28,20.257
1997-04-29,20.908
1997-04-30,21.283
1997-05-01,21.001
1997-05-02,21.188
1997-05-05,21.983
1997-05-06,22.027
1997-05-07,21.793
1997-05-08,21.793
1997-05-09,21.699
1997-05-12,22.218
1997-05-13,22.407
1997-05-14,22.501
1997-05-15,22.124
1997-05-16,21.84
1997-05-19,22.218
1997-05-20,22.218
1997-05-21,22.358
1997-05-22,21.983
1997-05-23,22.501
1997-05-27,22.407
1997-05-28,22.076
1997-05-29,22.076
1997-05-30,22.264
1997-06-02,22.546
1997-06-03,22.501
1997-06-04,22.546
1997-06-05,22.595
1997-06-06,23.019
1997-06-09,23.111
1997-06-10,22.931
1997-06-11,23.302
1997-06-12,23.913
1997-06-13,23.959
1997-06-16,24.195
1997-06-17,23.913
1997-06-18,23.82
1997-06-19,23.631
1997-06-20,23.865
1997-06-23,23.208
1997-06-24,23.489
1997-06-25,22.908
1997-06-26,23.002
1997-06-27,22.722
1997-06-30,23.019
1997-07-01,23.77
1997-07-02,23.727
1997-07-03,24.288
1997-07-07,23.795
1997-07-08,23.889
1997-07-09,23.277
1997-07-10,23.229
1997-07-11,23.208
1997-07-14,22.837
1997-07-15,23.395
1997-07-16,23.583
1997-07-17,23.631
1997-07-18,22.722
1997-07-21,23.041
1997-07-22,23.631
1997-07-23,23.091
1997-07-24,23.302
1997-07-25,23.608
1997-07-28,23.82
1997-07-29,23.583
1997-07-30,24.032
1997-07-31,24.148
1997-08-01,23.913
1997-08-04,24.054
1997-08-05,23.889
1997-08-06,24.377
1997-08-07,24.1
1997-08-08,23.302
1997-08-11,23.631
1997-08-12,23.489
1997-08-13,22.837
1997-08-14,22.697
1997-08-15,22.169
1997-08-18,23.372
1997-08-19,23.395
1997-08-20,23.82
1997-08-21,23.419
1997-08-22,23.583
1997-08-25,23.419
1997-08-26,23.208
1997-08-27,23.77
1997-08-28,23.252
1997-08-29,23.002
1997-09-02,24.054
1997-09-03,24.1
1997-09-04,24.148
1997-09-05,24.054
1997-09-08,24.148
1997-09-09,24.243
1997-09-10,23.654
1997-09-11,23.346
1997-09-12,23.702
1997-09-15,23.583
1997-09-16,24.288
1997-09-17,24.288
1997-09-18,24.8
1997-09-19,24.73
1997-09-22,24.127
1997-09-23,24.472
1997-09-24,24.127
1997-09-25,24.006
1997-09-26,24.148
1997-09-29,24.353
1997-09-30,24.078
1997-10-01,24.54
1997-10-02,24.398
1997-10-03,24.492
1997-10-06,25.091
1997-10-07,25.115
1997-10-08,24.518
1997-10-09,24.353
1997-10-10,24.267
1997-10-13,24.267
1997-10-14,24.267
1997-10-15,24.353
1997-10-16,24.054
1997-10-17,23.913
1997-10-20,24.425
1997-10-21,24.472
1997-10-22,24.377
1997-10-23,23.727
1997-10-24,23.535
1997-10-27,21.793
1997-10-28,23.091
1997-10-29,22.672
1997-10-30,22.815
1997-10-31,23.091
1997-11-03,23.395
1997-11-04,23.514
1997-11-05,23.252
1997-11-06,23.019
1997-11-07,22.595
1997-11-10,22.428
1997-11-11,22.476
1997-11-12,22.124
1997-11-13,22.501
1997-11-14,22.908
1997-11-17,23.277
1997-11-18,23.372
1997-11-19,23.327
1997-11-20,23.56
1997-11-21,24.032
1997-11-24,23.631
1997-11-25,22.979
1997-11-26,23.002
1997-11-28,22.931
1997-12-01,23.136
1997-12-02,23.002
1997-12-03,23.464
1997-12-04,23.419
1997-12-05,24.054
1997-12-08,23.747
1997-12-09,23.442
1997-12-10,23.583
1997-12-11,23.442
1997-12-12,23.302
1997-12-15,23.608
1997-12-16,23.889
1997-12-17,23.583
1997-12-18,23.185
1997-12-19,22.647
1997-12-22,22.672
1997-12-23,22.619
1997-12-24,22.595
1997-12-26,22.815
1997-12-29,23.136
1997-12-30,23.419
1997-12-31,23.002
1998-01-02,23.252
1998-01-05,23.002
1998-01-06,22.169
1998-01-07,22.885
1998-01-08,22.382
1998-01-09,21.84
1998-01-12,22.076
1998-01-13,22.57
1998-01-14,22.86
1998-01-15,22.358
1998-01-16,22.86
1998-01-20,22.885
1998-01-21,22.953
1998-01-22,22.382
1998-01-23,22.196
1998-01-26,22.647
1998-01-27,22.697
1998-01-28,22.239
1998-01-29,22.837
1998-01-30,22.288
1998-02-02,22.742
1998-02-03,22.86
1998-02-04,23.136
1998-02-05,23.277
1998-02-06,23.302
1998-02-09,23.302
1998-02-10,23.327
1998-02-11,23.56
1998-02-12,23.702
1998-02-13,23.727
1998-02-17,23.346
1998-02-18,23.983
1998-02-19,23.913
1998-02-20,24.171
1998-02-23,23.489
1998-02-24,23.583
1998-02-25,23.608
1998-02-26,23.702
1998-02-27,23.959
1998-03-02,23.865
1998-03-03,24.148
1998-03-04,23.843
1998-03-05,23.654
1998-03-06,23.583
1998-03-09,23.489
1998-03-10,23.843
1998-03-11,24.032
1998-03-12,24.006
1998-03-13,24.171
1998-03-16,24.127
1998-03-17,23.654
1998-03-18,24.288
1998-03-19,24.353
1998-03-20,25.234
1998-03-23,25.561
1998-03-24,25.696
1998-03-25,25.468
1998-03-26,25.632
1998-03-27,25.42
1998-03-30,25.537
1998-03-31,25.42
1998-04-01,25.908
1998-04-02,26.258
1998-04-03,26.002
1998-04-06,25.722
1998-04-07,25.468
1998-04-08,24.847
1998-04-09,25.091
1998-04-13,25.444
1998-04-14,25.253
1998-04-15,25.816
1998-04-16,26.426
1998-04-17,27.076
1998-04-20,27.413
1998-04-21,27.557
1998-04-22,27.413
1998-04-23,27.72
1998-04-24,27.625
1998-04-27,27.932
1998-04-28,27.583
1998-04-29,27.413
1998-04-30,27.463
1998-05-01,28.419
1998-05-04,28.099
1998-05-05,27.814
1998-05-06,27.979
1998-05-07,27.532
1998-05-08,27.507
1998-05-11,27.413
1998-05-12,27.743
1998-05-13,27.676
1998-05-14,27.676
1998-05-15,27.698
1998-05-18,27.266
1998-05-19,27.171
1998-05-20,26.778
1998-05-21,26.449
1998-05-22,26.52
1998-05-26,26.141
1998-05-27,26.449
1998-05-28,26.661
1998-05-29,26.496
1998-06-01,26.543
1998-06-02,26.284
1998-06-03,25.933
1998-06-04,26.426
1998-06-05,26.981
1998-06-08,26.755
1998-06-09,26.284
1998-06-10,25.857
1998-06-11,25.586
1998-06-12,26.048
1998-06-15,25.739
1998-06-16,26.141
1998-06-17,26.685
1998-06-18,26.591
